age,num_contacts,num_referrals,num_successful_referrals,METAL,METAL_FREE,PREMIUM,PREMIUM_FREE,PREMIUM_OFFER,STANDARD,Android,Apple,num_notifications,num_notified_15,num_notified_30,num_notified_45,num_notified_60,num_notified_90,num_notified_180,num_channles_of_com,num_reasons_com,num_transactions_Fri,num_transactions_Mon,num_transactions_Sat,num_transactions_Sun,num_transactions_Thu,num_transactions_Tue,num_transactions_Wed,INBOUND_count,OUTBOUND_count,CANCELLED_count,COMPLETED_count,DECLINED_count,FAILED_count,PENDING_count,REVERTED_count,median_usd,mean_usd,min_usd,max_usd
33,1,0,0,0,0,0,0,0,1,1,0,13,13.0,13.0,13.0,13.0,11.0,0.0,2,5,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,4.405,4.405,0.09,8.72
65,4,0,0,0,0,0,0,0,1,1,0,4,4.0,4.0,4.0,4.0,3.0,1.0,2,3,0,0,3,1,0,1,0,3,2,0,4,0,0,0,1,5.01,6.2,1.0,10.0
57,0,0,0,0,0,0,0,0,1,1,0,15,15.0,15.0,15.0,15.0,14.0,13.0,3,3,3,10,15,5,11,3,7,24,30,0,29,9,3,0,13,136.58,217.01666666666677,0.85,1159.22
31,5,0,0,0,0,0,0,0,1,1,0,5,5.0,5.0,5.0,5.0,4.0,0.0,2,4,1,2,2,4,2,5,5,9,12,0,13,2,0,0,6,7.63,16.222380952380956,0.0,85.11
24,5,0,0,0,0,0,0,0,1,0,1,9,9.0,9.0,9.0,9.0,7.0,3.0,2,5,16,11,18,8,13,16,21,17,86,0,97,1,3,1,1,10.95,27.44213592233009,0.0,250.0
46,6,0,0,0,0,0,0,0,1,0,0,4,4.0,4.0,4.0,4.0,2.0,0.0,2,2,15,8,14,8,8,10,17,15,65,0,69,4,2,1,4,11.14,103.81149999999998,0.0,2198.16
26,25,0,0,0,0,0,0,0,1,0,1,8,7.0,7.0,7.0,7.0,7.0,2.0,2,6,109,91,130,74,81,76,97,40,618,1,647,2,1,2,5,2.29,9.111048632218846,0.0,289.36
30,0,0,0,0,0,0,0,0,1,1,0,7,7.0,6.0,6.0,6.0,5.0,0.0,2,5,20,28,36,43,36,20,22,33,172,0,198,2,0,2,3,11.65,27.93765853658536,0.0,298.25
27,4,0,0,0,0,1,0,0,0,0,1,8,8.0,8.0,8.0,8.0,6.0,1.0,2,6,186,158,121,142,154,165,143,23,1046,0,1010,20,0,15,24,2.0,29.664948550046805,0.0,1623.43
42,2,0,0,0,0,0,0,0,1,0,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,0,2,5,0,0,0,0,2,5,0,6,0,0,0,1,8.51,7.087142857142857,0.85,8.91
28,12,0,0,0,0,0,0,0,1,0,1,2,2.0,2.0,2.0,2.0,2.0,0.0,2,2,31,57,31,41,26,44,39,32,237,1,242,3,3,4,16,8.0,73.65111524163571,0.0,1276.6
71,0,0,0,0,0,0,0,0,1,1,0,12,12.0,12.0,12.0,12.0,11.0,5.0,3,3,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,5.5,5.5,1.0,10.0
38,19,0,0,0,0,0,0,0,1,1,0,12,12.0,12.0,12.0,12.0,11.0,8.0,3,3,19,17,31,18,28,29,31,49,124,0,136,4,10,13,10,10.81,54.39849710982654,0.0,1322.83
41,8,0,0,0,0,0,0,0,1,1,0,11,11.0,11.0,11.0,11.0,9.0,6.0,3,2,0,0,0,0,1,0,4,3,2,0,3,1,0,0,1,7.23,6.412000000000001,0.85,8.51
68,0,0,0,0,0,0,0,0,1,0,1,6,6.0,6.0,6.0,6.0,4.0,1.0,2,2,0,0,9,0,7,0,0,15,1,0,3,0,2,0,11,8.51,6.966874999999999,0.85,17.02
42,120,0,0,0,0,0,0,0,1,0,1,4,3.0,3.0,3.0,3.0,3.0,0.0,2,4,3,12,0,4,3,3,3,4,24,0,24,3,0,0,1,49.09,125.28785714285715,1.0,600.0
52,0,0,0,0,0,0,0,0,1,1,0,5,5.0,5.0,5.0,5.0,5.0,3.0,2,3,11,7,4,6,6,5,3,2,40,0,36,6,0,0,0,32.96,154.18809523809526,3.57,3404.26
31,0,0,0,0,0,0,0,0,1,0,1,2,2.0,2.0,2.0,2.0,1.0,0.0,2,2,9,8,10,3,5,6,7,7,41,0,22,22,0,0,4,7.32,14.391041666666675,0.0,136.52
50,3,0,0,0,0,0,0,0,1,1,0,4,4.0,4.0,4.0,4.0,2.0,1.0,2,2,6,16,16,7,15,14,21,18,77,0,72,8,2,0,13,5.1,34.182842105263155,0.0,255.32
37,30,0,0,0,0,0,0,0,1,1,0,9,8.0,8.0,8.0,8.0,7.0,7.0,2,3,8,2,21,19,5,7,7,7,62,0,59,3,1,3,3,3.03,23.704927536231875,0.05,425.53
35,6,0,0,0,0,0,0,0,1,1,0,5,5.0,5.0,5.0,5.0,5.0,0.0,1,2,9,1,1,11,9,0,8,9,30,0,32,4,0,0,3,13.19,73.63846153846153,0.0,523.57
22,0,0,0,0,0,1,0,0,0,0,1,6,6.0,6.0,6.0,6.0,4.0,2.0,2,4,2,5,2,2,1,1,4,9,8,0,13,0,3,0,1,6.8,105.87823529411764,0.85,936.17
19,76,0,0,0,0,0,0,0,1,0,1,3,3.0,3.0,3.0,3.0,0.0,0.0,1,2,5,5,3,0,4,6,2,10,15,0,20,2,1,0,2,26.81,32.8476,0.85,102.13
41,22,0,0,0,0,0,0,0,1,0,1,9,9.0,9.0,9.0,9.0,8.0,8.0,2,3,1,5,0,1,2,8,8,5,20,0,23,1,0,0,1,50.0,128.86320000000003,1.0,1000.0
28,0,0,0,0,0,0,0,0,1,1,0,21,21.0,21.0,21.0,21.0,21.0,21.0,1,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,4.68,4.68,0.85,8.51
22,19,0,0,0,0,1,0,0,0,0,1,8,8.0,8.0,8.0,8.0,7.0,7.0,3,4,71,131,99,138,96,89,97,69,652,0,600,42,13,21,45,6.8,32.618502080443804,0.0,2552.37
32,16,0,0,0,0,0,0,0,1,1,0,4,4.0,4.0,4.0,4.0,4.0,0.0,2,4,0,2,3,3,5,3,1,2,15,0,13,1,1,0,2,28.06,80.7664705882353,0.85,680.85
37,5,0,0,0,0,0,0,0,1,1,0,10,10.0,10.0,10.0,10.0,9.0,7.0,2,4,3,2,0,1,4,3,8,7,14,0,14,2,0,1,4,145.3,118.79238095238097,0.85,204.26
63,0,0,0,0,0,0,0,0,1,0,1,13,13.0,13.0,13.0,13.0,12.0,8.0,3,4,0,2,0,0,1,0,0,3,0,0,2,0,0,0,1,149.28,1468.4499999999996,0.75,4255.32
34,22,0,0,0,0,0,0,0,1,1,0,9,8.0,8.0,7.0,7.0,6.0,5.0,3,4,27,17,22,29,12,17,12,18,118,0,129,0,3,0,4,12.45,41.591911764705884,0.66,300.4
29,40,0,0,0,0,0,0,0,1,0,1,5,5.0,5.0,5.0,5.0,4.0,2.0,2,4,21,10,44,19,33,33,36,64,132,0,152,14,7,3,20,11.105,959.6732142857132,0.0,179030.23
37,28,0,0,0,0,0,0,0,1,1,0,3,3.0,3.0,3.0,2.0,2.0,0.0,1,3,8,11,4,0,8,8,8,11,36,0,40,3,1,0,3,20.0,59.66659574468084,0.1,300.0
56,9,0,0,0,0,0,0,0,1,0,1,10,10.0,10.0,10.0,10.0,9.0,7.0,3,4,3,1,0,0,2,8,3,9,8,0,6,5,3,0,3,5.11,97.2711764705882,0.0,272.34
30,0,0,0,0,0,0,0,0,1,0,1,3,3.0,3.0,3.0,3.0,3.0,0.0,2,2,16,6,11,8,4,8,16,19,50,1,55,7,0,1,5,34.04,102.6410144927537,0.0,603.4
59,10,0,0,0,0,0,0,0,1,0,1,5,5.0,5.0,5.0,5.0,2.0,1.0,2,4,52,40,88,55,65,49,62,35,376,0,390,3,2,1,15,5.7,32.58038929440388,0.0,2009.0
30,21,0,0,0,0,0,0,0,1,0,1,6,6.0,6.0,6.0,6.0,4.0,0.0,2,4,0,2,1,5,9,3,17,6,31,0,25,6,0,0,6,3.98,28.072162162162165,0.0,159.07
24,0,0,0,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,72.0,72.0,72.0,72.0
28,113,0,0,0,0,0,0,0,1,0,1,5,5.0,5.0,5.0,5.0,5.0,4.0,2,2,1,6,3,0,1,2,2,11,4,0,11,0,0,0,4,17.02,77.62999999999998,0.85,212.77
28,155,0,0,0,0,0,0,0,1,0,1,3,3.0,3.0,3.0,3.0,2.0,1.0,2,2,34,18,15,7,21,24,21,29,111,0,117,8,1,0,14,16.105,52.19057142857145,0.0,851.06
22,0,0,0,0,0,0,0,0,1,0,1,3,3.0,3.0,3.0,3.0,3.0,3.0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0
