user_id,num_notifications,num_notified_15,num_notified_30,num_notified_45,num_notified_60,num_notified_90,num_notified_180,num_channles_of_com,num_reasons_com
user_7086,10,10.0,10.0,10.0,10.0,10.0,0.0,2,2
user_6598,11,11.0,11.0,10.0,10.0,10.0,3.0,2,6
user_4151,7,6.0,6.0,6.0,6.0,6.0,1.0,2,3
user_1408,4,4.0,4.0,4.0,4.0,3.0,1.0,1,2
user_6292,10,10.0,10.0,10.0,10.0,8.0,3.0,2,4
user_4098,8,8.0,7.0,7.0,7.0,6.0,0.0,2,5
user_4331,9,9.0,9.0,8.0,8.0,7.0,3.0,2,3
user_8337,12,12.0,12.0,12.0,12.0,11.0,6.0,2,6
user_755,13,13.0,13.0,13.0,13.0,12.0,4.0,2,5
user_3774,16,16.0,15.0,15.0,15.0,13.0,4.0,2,7
user_847,9,9.0,9.0,9.0,9.0,9.0,4.0,2,2
user_4755,5,5.0,5.0,5.0,5.0,4.0,1.0,2,2
user_1295,8,8.0,8.0,8.0,8.0,6.0,1.0,2,4
user_7638,11,11.0,11.0,11.0,11.0,10.0,5.0,3,3
user_58,6,6.0,6.0,6.0,6.0,6.0,3.0,2,3
user_2871,19,19.0,19.0,19.0,19.0,17.0,11.0,2,6
user_3984,8,8.0,8.0,7.0,7.0,6.0,3.0,2,3
user_9054,3,3.0,3.0,3.0,3.0,3.0,1.0,1,1
user_9046,6,6.0,6.0,6.0,6.0,6.0,3.0,2,3
user_3977,4,4.0,4.0,4.0,4.0,4.0,1.0,1,2
user_2477,10,10.0,10.0,10.0,9.0,9.0,3.0,2,3
user_107,14,14.0,14.0,13.0,13.0,12.0,7.0,2,4
user_8375,8,8.0,8.0,8.0,8.0,6.0,2.0,2,4
user_795,6,6.0,6.0,6.0,6.0,5.0,1.0,2,3
user_3172,12,12.0,12.0,12.0,12.0,10.0,8.0,2,5
user_8461,7,7.0,7.0,7.0,7.0,6.0,3.0,3,3
user_7871,18,18.0,18.0,18.0,18.0,18.0,1.0,2,4
user_2948,11,11.0,11.0,11.0,11.0,9.0,6.0,3,4
user_8354,10,10.0,10.0,10.0,10.0,9.0,4.0,3,4
user_4117,5,5.0,5.0,4.0,4.0,3.0,0.0,2,3
user_3755,12,12.0,12.0,12.0,12.0,11.0,5.0,3,3
user_1800,10,10.0,10.0,10.0,10.0,9.0,5.0,2,3
user_6911,6,6.0,6.0,6.0,6.0,6.0,0.0,2,2
user_3287,9,8.0,8.0,8.0,8.0,6.0,4.0,3,3
user_6150,12,11.0,11.0,11.0,11.0,10.0,1.0,2,3
user_4363,10,10.0,9.0,9.0,9.0,9.0,2.0,2,5
user_7718,6,6.0,6.0,6.0,6.0,5.0,0.0,2,3
user_7747,8,8.0,8.0,8.0,8.0,8.0,1.0,2,2
user_8041,7,7.0,7.0,7.0,7.0,5.0,1.0,2,4
user_2052,11,11.0,11.0,11.0,11.0,9.0,6.0,2,5
user_7323,7,7.0,7.0,7.0,7.0,5.0,2.0,2,5
user_8661,9,9.0,9.0,9.0,9.0,8.0,4.0,3,3
user_6863,12,12.0,12.0,12.0,12.0,12.0,4.0,2,5
user_6899,6,6.0,6.0,6.0,6.0,5.0,1.0,2,3
user_1423,13,13.0,13.0,13.0,13.0,13.0,11.0,3,2
user_9714,4,4.0,4.0,4.0,4.0,4.0,1.0,1,1
user_3566,8,8.0,8.0,8.0,7.0,6.0,1.0,2,3
user_9860,9,9.0,9.0,9.0,9.0,6.0,4.0,2,3
user_4988,5,5.0,5.0,4.0,4.0,3.0,1.0,2,3
user_6428,12,11.0,11.0,11.0,11.0,9.0,3.0,3,4
user_4799,9,9.0,9.0,9.0,9.0,8.0,5.0,2,4
user_2866,11,11.0,11.0,11.0,11.0,10.0,2.0,2,4
user_1969,13,13.0,13.0,13.0,13.0,11.0,3.0,3,5
user_8489,9,9.0,9.0,9.0,9.0,8.0,4.0,3,3
user_544,8,8.0,8.0,8.0,8.0,8.0,3.0,2,3
user_3157,8,8.0,8.0,8.0,8.0,8.0,1.0,2,2
user_7927,8,8.0,7.0,7.0,7.0,6.0,0.0,2,5
user_6656,9,9.0,9.0,9.0,9.0,9.0,3.0,3,2
user_13,9,9.0,9.0,9.0,9.0,7.0,2.0,2,3
user_1532,7,7.0,7.0,7.0,7.0,4.0,0.0,2,4
user_4338,6,6.0,6.0,5.0,5.0,4.0,0.0,2,4
user_2173,10,10.0,10.0,10.0,10.0,9.0,1.0,2,4
user_3542,11,11.0,11.0,11.0,11.0,9.0,1.0,2,6
user_6491,6,6.0,6.0,6.0,6.0,5.0,2.0,2,2
user_4991,10,10.0,9.0,9.0,9.0,9.0,1.0,2,3
user_9516,12,12.0,12.0,12.0,12.0,12.0,7.0,2,3
user_1606,9,9.0,9.0,9.0,9.0,9.0,2.0,1,1
user_6325,6,6.0,6.0,6.0,6.0,5.0,3.0,2,2
user_448,16,16.0,16.0,16.0,16.0,13.0,9.0,2,7
user_9025,7,7.0,7.0,7.0,7.0,5.0,1.0,2,4
user_1060,4,4.0,4.0,4.0,4.0,3.0,0.0,2,3
user_1067,11,11.0,11.0,11.0,11.0,9.0,1.0,2,6
user_3316,15,15.0,15.0,15.0,15.0,14.0,9.0,3,4
user_3213,11,11.0,11.0,11.0,10.0,9.0,3.0,3,3
user_2435,8,8.0,8.0,8.0,8.0,7.0,3.0,2,4
user_1485,14,14.0,14.0,14.0,14.0,12.0,10.0,3,4
user_6867,9,9.0,9.0,9.0,9.0,8.0,4.0,2,3
user_8870,13,13.0,13.0,13.0,13.0,12.0,8.0,3,4
user_119,17,17.0,17.0,17.0,17.0,15.0,9.0,2,6
user_171,11,11.0,11.0,11.0,11.0,11.0,6.0,2,4
user_5482,16,16.0,16.0,16.0,16.0,14.0,10.0,3,3
user_4504,11,11.0,11.0,10.0,10.0,9.0,2.0,2,4
user_5678,11,10.0,10.0,10.0,10.0,8.0,3.0,2,4
user_9885,11,11.0,11.0,11.0,11.0,10.0,2.0,3,3
user_4406,11,11.0,10.0,10.0,10.0,9.0,3.0,3,4
user_6105,9,9.0,9.0,9.0,9.0,8.0,2.0,2,3
user_6873,8,8.0,8.0,8.0,8.0,8.0,1.0,2,2
user_5344,8,8.0,8.0,8.0,8.0,7.0,2.0,2,2
user_725,16,16.0,16.0,16.0,16.0,14.0,9.0,2,5
user_1682,7,7.0,7.0,7.0,7.0,5.0,0.0,2,3
user_9699,7,7.0,7.0,7.0,7.0,6.0,2.0,2,3
user_4802,7,7.0,7.0,6.0,6.0,6.0,1.0,2,3
user_6561,16,16.0,15.0,15.0,15.0,13.0,9.0,3,5
user_6188,9,9.0,9.0,9.0,9.0,7.0,5.0,3,2
user_7559,8,8.0,8.0,8.0,8.0,7.0,1.0,2,3
user_5934,9,9.0,9.0,9.0,9.0,6.0,3.0,2,5
user_3098,14,14.0,14.0,14.0,14.0,12.0,9.0,3,5
user_4384,11,11.0,10.0,10.0,10.0,9.0,4.0,3,5
user_2895,18,18.0,18.0,18.0,18.0,16.0,9.0,2,5
user_2578,14,14.0,14.0,14.0,13.0,12.0,5.0,2,4
user_3960,7,7.0,6.0,6.0,6.0,6.0,2.0,2,3
user_7154,6,6.0,6.0,6.0,6.0,6.0,4.0,2,3
user_2153,6,6.0,6.0,6.0,5.0,3.0,0.0,2,3
user_2764,10,10.0,10.0,10.0,10.0,8.0,4.0,3,3
user_3611,12,12.0,12.0,12.0,11.0,10.0,3.0,2,5
user_8781,4,4.0,4.0,4.0,4.0,4.0,0.0,1,1
user_9775,11,11.0,11.0,11.0,11.0,10.0,4.0,2,4
user_6079,8,8.0,8.0,8.0,8.0,7.0,3.0,2,3
user_9052,7,7.0,7.0,7.0,7.0,6.0,2.0,2,3
user_6295,5,5.0,5.0,5.0,5.0,4.0,1.0,2,3
user_4904,8,8.0,7.0,7.0,7.0,6.0,3.0,2,4
user_1156,7,7.0,7.0,7.0,7.0,5.0,2.0,2,5
user_2381,5,5.0,5.0,5.0,5.0,5.0,2.0,1,1
user_6049,6,6.0,6.0,6.0,6.0,5.0,3.0,2,4
user_5912,10,10.0,10.0,10.0,10.0,9.0,5.0,3,4
user_8491,7,7.0,7.0,7.0,7.0,6.0,0.0,2,2
user_6156,10,10.0,10.0,10.0,10.0,7.0,5.0,3,3
user_3498,12,12.0,12.0,12.0,12.0,11.0,7.0,3,4
user_3927,8,7.0,7.0,7.0,7.0,6.0,3.0,2,5
