user_id,num_transactions_Fri,num_transactions_Mon,num_transactions_Sat,num_transactions_Sun,num_transactions_Thu,num_transactions_Tue,num_transactions_Wed,INBOUND_count,OUTBOUND_count,CANCELLED_count,COMPLETED_count,DECLINED_count,FAILED_count,PENDING_count,REVERTED_count,is_user_engaged,median_usd,mean_usd,min_usd,max_usd,std_usd
user_898,30,59,30,25,31,55,31,53,208,0,240,14,4,0,3,ENGAGED,10.0,24.931264367816077,0.0,300.0,43.845132748150256
user_1652,106,50,74,58,103,99,98,78,510,0,521,34,0,3,30,ENGAGED,12.67,221.44445578231333,0.0,11716.85,766.7267056675806
user_5509,23,26,31,16,13,50,12,59,112,0,132,11,5,7,16,ENGAGED,7.59,18.503216374269016,0.0,134.32,29.36603936232085
user_5496,25,5,20,21,27,20,23,14,127,0,134,2,1,0,4,ENGAGED,5.85,44.86106382978723,0.1,400.0,85.91774424830601
user_4896,35,46,20,49,45,31,42,29,239,0,229,28,0,0,11,ENGAGED,5.8100000000000005,19.941753731343297,0.0,340.43,38.54931816025769
user_2206,5,31,20,21,5,12,10,43,61,0,72,5,0,0,27,ENGAGED,19.88,21.101826923076928,0.2,73.57,18.828262260143493
user_7969,12,8,5,7,13,2,10,13,44,0,43,9,0,0,5,ENGAGED,30.32,112.13824561403509,1.0,934.44,199.3926161417899
user_2571,54,63,73,64,62,75,69,101,359,1,394,27,8,0,30,ENGAGED,16.130000000000003,87.39819565217387,0.0,1590.66,188.3710960544727
user_3705,23,40,34,13,40,49,43,48,194,0,228,11,1,0,2,ENGAGED,25.0,161.89231404958673,0.02,1350.0,274.8521881407229
user_1293,47,66,36,50,44,49,38,114,216,1,302,5,15,0,7,ENGAGED,51.06,193.9418787878787,0.0,7300.0,586.2326741451428
user_6009,82,72,70,59,62,54,76,17,458,0,455,7,0,2,11,ENGAGED,4.26,10.692526315789484,0.0,336.17,25.592129021749386
user_4773,25,31,36,18,25,24,22,22,159,1,158,9,1,2,10,ENGAGED,24.34,392.6939226519335,0.0,25000.0,2084.477221033976
user_1491,48,59,60,71,60,53,77,73,355,1,396,9,3,1,18,ENGAGED,31.535,106.36862149532708,0.0,2900.0,298.1713275753137
user_2946,39,34,32,45,38,18,19,36,189,0,194,14,1,1,15,ENGAGED,13.5,33.548177777777774,0.0,232.1,46.47979824001541
user_418,33,32,33,37,33,33,36,54,183,0,227,4,4,0,2,ENGAGED,26.86,48.3262025316456,1.0,288.0,55.106601783220135
